REGIONAL_GESTOR;REGIONAL;FAMILIA;PERIODO;VOL_PREV
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-10-01;749456,32
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-11-01;714416,07
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-12-01;774879,35
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2027-01-01;532011,17
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-10-01;7539,48
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-11-01;7700,16
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-12-01;7828,42
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2027-01-01;7469,81
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-10-01;158624,23
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-11-01;148743,22
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-12-01;174164,66
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2027-01-01;128400,12
CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;2026-10-01;34677,34
CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;2026-11-01;25719,88
CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;2026-12-01;21206,61
CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;2027-01-01;36232,11
CO NO;CENTRO OESTE;04 - PRODUTOS REVENDA;2026-10-01;10613,01
CO NO;CENTRO OESTE;04 - PRODUTOS REVENDA;2026-11-01;9505,58
CO NO;CENTRO OESTE;04 - PRODUTOS REVENDA;2026-12-01;11982,32
CO NO;CENTRO OESTE;04 - PRODUTOS REVENDA;2027-01-01;7482,19
CO NO;CENTRO OESTE;29 - PPR;2026-10-01;32,97
CO NO;CENTRO OESTE;29 - PPR;2026-11-01;32,99
CO NO;CENTRO OESTE;29 - PPR;2026-12-01;33,02
CO NO;CENTRO OESTE;29 - PPR;2027-01-01;33,04
CO NO;CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-10-01;102327,76
CO NO;CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-11-01;81501,26
CO NO;CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-12-01;46410,97
CO NO;CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;2027-01-01;94042,06
CO NO;CENTRO OESTE;31 - CPVC ULTRATERM;2026-10-01;2713,25
CO NO;CENTRO OESTE;31 - CPVC ULTRATERM;2026-11-01;2529,59
CO NO;CENTRO OESTE;31 - CPVC ULTRATERM;2026-12-01;3005,78
CO NO;CENTRO OESTE;31 - CPVC ULTRATERM;2027-01-01;2331,65
CO NO;NORTE;00 - TUBOS PVC KRONA;2026-10-01;351561,81
CO NO;NORTE;00 - TUBOS PVC KRONA;2026-11-01;346542,84
CO NO;NORTE;00 - TUBOS PVC KRONA;2026-12-01;351441,06
CO NO;NORTE;00 - TUBOS PVC KRONA;2027-01-01;373683,65
CO NO;NORTE;01 - TUBOS ELETRODUTOS KRONA;2026-10-01;10581,77
CO NO;NORTE;01 - TUBOS ELETRODUTOS KRONA;2026-11-01;9483,48
CO NO;NORTE;01 - TUBOS ELETRODUTOS KRONA;2026-12-01;10200,31
CO NO;NORTE;01 - TUBOS ELETRODUTOS KRONA;2027-01-01;10001,25
CO NO;NORTE;02 - CONEXOES KRONA;2026-10-01;104289,98
CO NO;NORTE;02 - CONEXOES KRONA;2026-11-01;101132,01
CO NO;NORTE;02 - CONEXOES KRONA;2026-12-01;103454,85
CO NO;NORTE;02 - CONEXOES KRONA;2027-01-01;104988,89
CO NO;NORTE;03 - ACESSORIOS KRONA;2026-10-01;15346,35
CO NO;NORTE;03 - ACESSORIOS KRONA;2026-11-01;14330,75
CO NO;NORTE;03 - ACESSORIOS KRONA;2026-12-01;13755,57
CO NO;NORTE;03 - ACESSORIOS KRONA;2027-01-01;16690,82
CO NO;NORTE;04 - PRODUTOS REVENDA;2026-10-01;2224,71
CO NO;NORTE;04 - PRODUTOS REVENDA;2026-11-01;2049,52
CO NO;NORTE;04 - PRODUTOS REVENDA;2026-12-01;2423,25
CO NO;NORTE;04 - PRODUTOS REVENDA;2027-01-01;2000,34
CO NO;NORTE;29 - PPR;2026-10-01;0,20
CO NO;NORTE;29 - PPR;2026-11-01;0,20
CO NO;NORTE;29 - PPR;2026-12-01;0,20
CO NO;NORTE;29 - PPR;2027-01-01;0,20
CO NO;NORTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-10-01;24067,21
CO NO;NORTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-11-01;23482,06
CO NO;NORTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-12-01;24586,96
CO NO;NORTE;30 - ELETRODUTOS CORRUGADOS KRONA;2027-01-01;25369,97
CO NO;NORTE;31 - CPVC ULTRATERM;2026-10-01;211,24
CO NO;NORTE;31 - CPVC ULTRATERM;2026-11-01;214,30
CO NO;NORTE;31 - CPVC ULTRATERM;2026-12-01;214,95
CO NO;NORTE;31 - CPVC ULTRATERM;2027-01-01;217,30
CONSTRUTORA;CONSTR CENTRO OESTE;00 - TUBOS PVC KRONA;2026-10-01;178959,61
CONSTRUTORA;CONSTR CENTRO OESTE;00 - TUBOS PVC KRONA;2026-11-01;184056,97
CONSTRUTORA;CONSTR CENTRO OESTE;00 - TUBOS PVC KRONA;2026-12-01;182365,19
CONSTRUTORA;CONSTR CENTRO OESTE;00 - TUBOS PVC KRONA;2027-01-01;181713,09
CONSTRUTORA;CONSTR CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-10-01;1642,64
