REGIONAL_GESTOR;REGIONAL;FAMILIA;PERIODO;VOL_VENDA
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-01-01;94490,84
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-02-01;277811,14
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-03-01;1529378,42
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-04-01;1062159,29
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-05-01;1064785,67
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-06-01;697002,01
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-07-01;310125,69
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-08-01;739502,46
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-09-01;740296,68
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-10-01;521082,43
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-11-01;220122,91
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2022-12-01;732236,37
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-01-01;99161,26
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-02-01;1408094,57
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-03-01;1009139,09
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-04-01;209357,85
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-05-01;339454,85
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-06-01;725340,64
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-07-01;406154,82
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-08-01;699098,60
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-09-01;964569,11
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-10-01;709245,81
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-11-01;252068,94
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2023-12-01;892367,15
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-01-01;133305,41
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-02-01;1335120,76
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-03-01;516594,33
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-04-01;349711,35
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-05-01;939835,21
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-06-01;1280407,45
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-07-01;1145163,72
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-08-01;209862,28
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-09-01;1143113,71
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-10-01;730935,02
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-11-01;790564,77
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2024-12-01;827338,20
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-01-01;559873,05
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-02-01;274923,23
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-03-01;605272,62
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-04-01;550469,51
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-05-01;737558,77
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-06-01;1553854,53
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-07-01;598365,31
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-08-01;728346,14
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-09-01;794927,51
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-10-01;897485,22
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-11-01;942379,97
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2025-12-01;1177472,29
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-01-01;253416,56
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-02-01;695621,35
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-03-01;877575,58
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-04-01;1090041,16
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-05-01;490668,76
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-06-01;626735,75
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-07-01;618293,66
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-08-01;441761,08
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-01-01;1330,66
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-02-01;1670,71
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-03-01;4194,02
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-04-01;3890,95
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-05-01;5865,21
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-06-01;4523,92
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-07-01;1847,36
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-08-01;1641,86
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-09-01;3240,69
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-10-01;2301,61
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-11-01;3619,00
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2022-12-01;8937,26
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-01-01;856,76
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-02-01;9906,73
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-03-01;4283,80
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-04-01;1536,36
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-05-01;5720,30
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-06-01;3694,12
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-07-01;7894,97
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-08-01;10552,52
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-09-01;10497,19
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-10-01;12642,30
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-11-01;1938,25
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2023-12-01;14791,42
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-01-01;865,80
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-02-01;12616,32
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-03-01;8814,37
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-04-01;2464,37
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-05-01;8250,98
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-06-01;12349,55
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-07-01;14281,20
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-08-01;874,03
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-09-01;4254,85
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-10-01;5772,70
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-11-01;1803,46
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2024-12-01;5870,30
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-01-01;9185,78
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-02-01;640,89
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-03-01;7290,23
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-04-01;7189,52
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-05-01;5307,69
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-06-01;11266,99
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-07-01;2871,59
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-08-01;5703,78
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-09-01;9527,92
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-10-01;7466,57
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-11-01;5905,71
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2025-12-01;11588,28
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-01-01;1494,04
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-02-01;11921,67
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-03-01;13608,73
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-04-01;5776,28
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-05-01;759,45
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-06-01;9506,40
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-07-01;10229,44
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-08-01;2912,02
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-01-01;18828,21
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-02-01;68390,15
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-03-01;237781,68
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-04-01;149140,60
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-05-01;146915,59
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-06-01;171688,37
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-07-01;62102,17
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-08-01;86651,39
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-09-01;147742,33
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-10-01;194085,41
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-11-01;57277,95
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2022-12-01;183662,61
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-01-01;30870,48
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-02-01;220339,27
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-03-01;198617,16
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-04-01;50512,57
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-05-01;109836,95
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-06-01;227777,60
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-07-01;165400,23
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-08-01;252368,00
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-09-01;270406,76
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-10-01;149882,22
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-11-01;64844,06
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2023-12-01;255090,43
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-01-01;50904,29
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-02-01;237341,21
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-03-01;149729,98
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-04-01;110063,18
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-05-01;210252,79
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-06-01;286900,19
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-07-01;359847,15
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-08-01;54227,26
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-09-01;212205,96
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-10-01;145073,21
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-11-01;126541,51
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2024-12-01;205053,87
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-01-01;163682,11
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-02-01;64120,79
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-03-01;184126,82
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-04-01;96167,38
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-05-01;195794,35
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-06-01;366550,23
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-07-01;147448,54
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-08-01;132454,18
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-09-01;169479,54
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-10-01;186996,60
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-11-01;138818,78
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2025-12-01;215538,26
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-01-01;41692,33
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-02-01;207615,62
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-03-01;198271,36
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-04-01;231085,45
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-05-01;94461,40
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-06-01;167742,59
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-07-01;175164,89
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-08-01;106955,84
CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;2022-01-01;2446,18
