REGIONAL_GESTOR;REGIONAL;FAMILIA;MÉDIA 3 MESES;MÉDIA 6 MESES
CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;578566,06;733156,04
CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;6831,76;8633,66
CO NO;CENTRO OESTE;02 - CONEXOES KRONA;145789,63;179056,89
CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;40126,97;46792,19
CO NO;CENTRO OESTE;04 - PRODUTOS REVENDA;11234,17;12314,07
CO NO;CENTRO OESTE;29 - PPR;25,46;16,12
CO NO;CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;88908,77;107361,49
CO NO;CENTRO OESTE;31 - CPVC ULTRATERM;3164,85;3595,77
CO NO;NORTE;00 - TUBOS PVC KRONA;314469,63;402755,37
CO NO;NORTE;01 - TUBOS ELETRODUTOS KRONA;10174,74;10312,83
CO NO;NORTE;02 - CONEXOES KRONA;101553,57;113764,88
CO NO;NORTE;03 - ACESSORIOS KRONA;16981,55;16678,95
CO NO;NORTE;04 - PRODUTOS REVENDA;1989,34;2055,26
CO NO;NORTE;29 - PPR;34,35;16,49
CO NO;NORTE;30 - ELETRODUTOS CORRUGADOS KRONA;21051,85;26762,95
CO NO;NORTE;31 - CPVC ULTRATERM;119,54;193,79
CONSTRUTORA;CONSTR CENTRO OESTE;00 - TUBOS PVC KRONA;234488,43;183039,32
CONSTRUTORA;CONSTR CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;716,69;589,08
CONSTRUTORA;CONSTR CENTRO OESTE;02 - CONEXOES KRONA;40239,96;34089,13
CONSTRUTORA;CONSTR CENTRO OESTE;03 - ACESSORIOS KRONA;443,65;453,81
CONSTRUTORA;CONSTR CENTRO OESTE;04 - PRODUTOS REVENDA;6750,42;4954,73
CONSTRUTORA;CONSTR CENTRO OESTE;29 - PPR;33,40;62,57
CONSTRUTORA;CONSTR CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;34064,89;30634,26
CONSTRUTORA;CONSTR CENTRO OESTE;31 - CPVC ULTRATERM;2234,48;1791,67
CONSTRUTORA;CONSTR NORDESTE;00 - TUBOS PVC KRONA;290607,12;388937,91
CONSTRUTORA;CONSTR NORDESTE;01 - TUBOS ELETRODUTOS KRONA;28640,48;36988,43
CONSTRUTORA;CONSTR NORDESTE;02 - CONEXOES KRONA;58411,49;74060,41
CONSTRUTORA;CONSTR NORDESTE;03 - ACESSORIOS KRONA;3723,14;3918,38
CONSTRUTORA;CONSTR NORDESTE;04 - PRODUTOS REVENDA;5972,08;7388,27
