FAMILIA;REGIONAL;REGIONAL_GESTOR;SEGMENTO;MEDIA_VOL_VENDA_12M;MEDIA_VAL_VENDA_12M;RS_KG;ID
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;523415,74;5675912,81;10,84;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;196,63;3015,40;15,34;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;218651,42;2553212,28;11,68;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;155646,94;1802371,32;11,58;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;OUTROS;66,25;990,26;14,95;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;360937,81;4717409,34;13,07;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;237,93;3835,86;16,12;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS
00 - TUBOS PVC KRONA;CONSTR NORTE;CONSTRUTORA;CONSTRUTORA;10773,16;154803,38;14,37;CONSTR NORTE|00 - TUBOS PVC KRONA|CONSTRUTORA
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;CONSTRUTORA;129293,61;1698415,81;13,14;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|CONSTRUTORA
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;OUTROS;117,09;2065,13;17,64;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|OUTROS
00 - TUBOS PVC KRONA;CONSTR SAO PAULO;CONSTRUTORA;VAREJO;146,36;2079,43;14,21;CONSTR SAO PAULO|00 - TUBOS PVC KRONA|VAREJO
00 - TUBOS PVC KRONA;CONSTR SUDESTE;CONSTRUTORA;CONSTRUTORA;41299,04;498023,03;12,06;CONSTR SUDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA
00 - TUBOS PVC KRONA;CONSTR SUL;CONSTRUTORA;CONSTRUTORA;188219,31;2458194,00;13,06;CONSTR SUL|00 - TUBOS PVC KRONA|CONSTRUTORA
00 - TUBOS PVC KRONA;CONSTR SUL;CONSTRUTORA;OUTROS;60,18;1194,21;19,84;CONSTR SUL|00 - TUBOS PVC KRONA|OUTROS
00 - TUBOS PVC KRONA;CONSTR SUL;CONSTRUTORA;VAREJO;62,55;834,14;13,34;CONSTR SUL|00 - TUBOS PVC KRONA|VAREJO
00 - TUBOS PVC KRONA;EXPORTACAO;EXPORTACAO;EXPORTACAO;11762,52;81917,39;6,96;EXPORTACAO|00 - TUBOS PVC KRONA|EXPORTACAO
00 - TUBOS PVC KRONA;IRRIGACAO 1;IRRIGACAO;IRRIGACAO;8427,15;125579,96;14,90;IRRIGACAO 1|00 - TUBOS PVC KRONA|IRRIGACAO
00 - TUBOS PVC KRONA;IRRIGACAO 2;IRRIGACAO;IRRIGACAO;4317,62;62328,48;14,44;IRRIGACAO 2|00 - TUBOS PVC KRONA|IRRIGACAO
00 - TUBOS PVC KRONA;IRRIGACAO 2;IRRIGACAO;VAREJO;805,92;14037,28;17,42;IRRIGACAO 2|00 - TUBOS PVC KRONA|VAREJO
00 - TUBOS PVC KRONA;MINAS GERAIS;MINAS RJ/ES;ATACADO;393563,97;4508116,57;11,45;MINAS GERAIS|00 - TUBOS PVC KRONA|ATACADO
00 - TUBOS PVC KRONA;MINAS GERAIS;MINAS RJ/ES;OUTROS;256,28;4235,39;16,53;MINAS GERAIS|00 - TUBOS PVC KRONA|OUTROS
00 - TUBOS PVC KRONA;MINAS GERAIS;MINAS RJ/ES;VAREJO;185640,31;2242498,36;12,08;MINAS GERAIS|00 - TUBOS PVC KRONA|VAREJO
