FAMILIA;REGIONAL;REGIONAL_GESTOR;SEGMENTO;PERIODO;VOL_VENDA;ID
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-01-01;337163,08;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JAN25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-02-01;121483,99;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|FEV25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-03-01;436432,55;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAR25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-04-01;376905,21;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|ABR25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-05-01;541534,23;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAI25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-06-01;1134392,04;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUN25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-07-01;354224,66;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUL25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-08-01;395374,34;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|AGO25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-09-01;638769,80;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|SET25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-10-01;717218,79;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|OUT25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-11-01;725263,54;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|NOV25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2025-12-01;976769,31;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|DEZ25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2025-02-01;818,83;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|FEV25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2025-03-01;159,39;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAR25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2025-06-01;41,22;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JUN25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2025-08-01;148,89;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|AGO25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2025-09-01;138,25;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|SET25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2025-12-01;75,01;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|DEZ25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-01-01;222709,97;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JAN25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-02-01;152620,42;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|FEV25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-03-01;168680,67;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|MAR25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-04-01;173564,30;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|ABR25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-05-01;196024,53;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|MAI25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-06-01;419421,27;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JUN25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-07-01;244140,65;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JUL25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-08-01;332822,90;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|AGO25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-09-01;156019,46;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|SET25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-10-01;180266,44;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|OUT25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-11-01;217116,43;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|NOV25
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2025-12-01;200627,97;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|DEZ25
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2025-01-01;24362,75;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN25
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2025-02-01;73364,02;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV25
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2025-03-01;59064,22;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR25
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2025-04-01;56190,43;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR25
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2025-05-01;56774,63;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI25
