FAMILIA;REGIONAL;REGIONAL_GESTOR;SEGMENTO;PERIODO;VOL_VENDA;ID
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-01-01;163828,23;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JAN26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-02-01;476313,37;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|FEV26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-03-01;597331,95;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAR26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-04-01;716704,73;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|ABR26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-05-01;202654,02;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAI26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-06-01;431656,54;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUN26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-07-01;438406,56;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUL26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-08-01;196072,05;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|AGO26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-09-01;630010,28;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|SET26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-10-01;610176,03;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|OUT26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-11-01;581835,85;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|NOV26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2026-12-01;459720,40;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|DEZ26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-01-01;27,00;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JAN26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-03-01;199,76;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAR26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-04-01;270,51;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|ABR26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-05-01;433,73;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|MAI26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-07-01;225,51;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JUL26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-08-01;203,26;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|AGO26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-09-01;162,49;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|SET26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-10-01;157,37;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|OUT26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-11-01;150,06;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|NOV26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2026-12-01;118,57;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|DEZ26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-01-01;89561,33;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JAN26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-02-01;219307,98;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|FEV26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-03-01;280043,88;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|MAR26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-04-01;373065,91;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|ABR26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-05-01;287581,01;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|MAI26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-06-01;195079,22;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JUN26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-07-01;179661,59;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|JUL26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-08-01;245485,77;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|AGO26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-09-01;279001,23;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|SET26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-10-01;270217,59;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|OUT26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-11-01;257667,09;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|NOV26
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;VAREJO;2026-12-01;203588,03;CENTRO OESTE|00 - TUBOS PVC KRONA|VAREJO|DEZ26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-01-01;80506,45;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-02-01;104222,87;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-03-01;125074,17;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-04-01;165473,63;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-05-01;214574,09;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-06-01;309858,17;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-07-01;179033,01;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL26
00 - TUBOS PVC KRONA;CONSTR CENTRO OESTE;CONSTRUTORA;CONSTRUTORA;2026-08-01;261709,77;CONSTR CENTRO OESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-01-01;244242,41;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JAN26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-02-01;407024,84;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|FEV26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-03-01;491647,35;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAR26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-04-01;562444,67;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|ABR26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-05-01;265557,47;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|MAI26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-06-01;274034,95;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUN26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-07-01;332217,40;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|JUL26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;CONSTRUTORA;2026-08-01;400102,44;CONSTR NORDESTE|00 - TUBOS PVC KRONA|CONSTRUTORA|AGO26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2026-01-01;211,60;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|JAN26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2026-03-01;132,25;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|MAR26
00 - TUBOS PVC KRONA;CONSTR NORDESTE;CONSTRUTORA;OUTROS;2026-04-01;556,98;CONSTR NORDESTE|00 - TUBOS PVC KRONA|OUTROS|ABR26
