FAMILIA;REGIONAL;REGIONAL_GESTOR;SEGMENTO;PERIODO;VOL_PREV;ID
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-01-01;376113,20;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JAN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-02-01;454710,29;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|FEV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-03-01;454492,28;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-04-01;460564,69;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|ABR27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-05-01;436969,17;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|MAI27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-06-01;483824,85;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-07-01;462446,22;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|JUL27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-08-01;448150,18;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|AGO27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-09-01;516634,16;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|SET27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-10-01;517088,07;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|OUT27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-11-01;495420,24;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|NOV27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;ATACADO;2027-12-01;542872,71;CENTRO OESTE|00 - TUBOS PVC KRONA|ATACADO|DEZ27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-01-01;109,79;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|JAN27
00 - TUBOS PVC KRONA;CENTRO OESTE;CO NO;OUTROS;2027-02-01;126,87;CENTRO OESTE|00 - TUBOS PVC KRONA|OUTROS|FEV27
