ID;REGIONAL_GESTOR;REGIONAL;FAMILIA;PERIODO;VALOR;ORIGEM_PLANO;CICLO;REVISAO
CENTRO OESTE-00 - TUBOS PVC KRONA-SET26;CO NO;CENTRO OESTE;00 - TUBOS PVC KRONA;2026-09-01;909174,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-01 - TUBOS ELETRODUTOS KRONA-SET26;CO NO;CENTRO OESTE;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;6747,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-02 - CONEXOES KRONA-SET26;CO NO;CENTRO OESTE;02 - CONEXOES KRONA;2026-09-01;201252,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-03 - ACESSORIOS KRONA-SET26;CO NO;CENTRO OESTE;03 - ACESSORIOS KRONA;2026-09-01;37845,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-04 - PRODUTOS REVENDA-SET26;CO NO;CENTRO OESTE;04 - PRODUTOS REVENDA;2026-09-01;12732,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-29 - PPR-SET26;CO NO;CENTRO OESTE;29 - PPR;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;CO NO;CENTRO OESTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;97540,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CENTRO OESTE-31 - CPVC ULTRATERM-SET26;CO NO;CENTRO OESTE;31 - CPVC ULTRATERM;2026-09-01;4691,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-00 - TUBOS PVC KRONA-SET26;CO NO;NORTE;00 - TUBOS PVC KRONA;2026-09-01;396876,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-01 - TUBOS ELETRODUTOS KRONA-SET26;CO NO;NORTE;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;9895,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-02 - CONEXOES KRONA-SET26;CO NO;NORTE;02 - CONEXOES KRONA;2026-09-01;131270,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-03 - ACESSORIOS KRONA-SET26;CO NO;NORTE;03 - ACESSORIOS KRONA;2026-09-01;14115,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-04 - PRODUTOS REVENDA-SET26;CO NO;NORTE;04 - PRODUTOS REVENDA;2026-09-01;2518,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-29 - PPR-SET26;CO NO;NORTE;29 - PPR;2026-09-01;0,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;CO NO;NORTE;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;22679,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
NORTE-31 - CPVC ULTRATERM-SET26;CO NO;NORTE;31 - CPVC ULTRATERM;2026-09-01;227,0;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-00 - TUBOS PVC KRONA-SET26;CONSTRUTORA;CONSTRUTORA 1;00 - TUBOS PVC KRONA;2026-09-01;427808,8651367494;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-01 - TUBOS ELETRODUTOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 1;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;6351,10803861763;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-02 - CONEXOES KRONA-SET26;CONSTRUTORA;CONSTRUTORA 1;02 - CONEXOES KRONA;2026-09-01;92565,07734300883;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-03 - ACESSORIOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 1;03 - ACESSORIOS KRONA;2026-09-01;2570,3593774319065;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-04 - PRODUTOS REVENDA-SET26;CONSTRUTORA;CONSTRUTORA 1;04 - PRODUTOS REVENDA;2026-09-01;10287,991620780465;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-29 - PPR-SET26;CONSTRUTORA;CONSTRUTORA 1;29 - PPR;2026-09-01;8064,350072196375;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-30 - ELETRODUTOS CORRUGADOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 1;30 - ELETRODUTOS CORRUGADOS KRONA;2026-09-01;111373,36633609592;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 1-31 - CPVC ULTRATERM-SET26;CONSTRUTORA;CONSTRUTORA 1;31 - CPVC ULTRATERM;2026-09-01;5693,241451932607;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-00 - TUBOS PVC KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;00 - TUBOS PVC KRONA;2026-09-01;672191,1348632505;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-01 - TUBOS ELETRODUTOS KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;01 - TUBOS ELETRODUTOS KRONA;2026-09-01;33445,891961382375;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
CONSTRUTORA 2-02 - CONEXOES KRONA-SET26;CONSTRUTORA;CONSTRUTORA 2;02 - CONEXOES KRONA;2026-09-01;124692,92265699116;PLANO_REGIONAL;CICLO_SET26_DEZ26;REV1
